Dept,CourseName,CourseNumber,Hours,GenEds,Prereqs,Description
Greek,Elementary Greek II,GRK 102,4 hours,,GRK 101,"The second course of a two-semester sequence which continues the study of ancient Greek grammar, vocabulary, and syntax. Passages are drawn from a variety of Greek works, including the New Testament."
Greek,Intermediate Greek,GRK 201,4 hours,Human Expression—Primary Texts,GRK 102,"A review of ancient Greek grammar, vocabulary, and syntax, followed by readings in both the New Testament and classical authors."
Greek,Readings in Greek,GRK 202,4 hours,Human Expression—Primary Texts,GRK 201,"Fourth-semester readings from one or more ancient Greek authors or works, such as Homer, Plato, Sophocles, and the New Testament."
Greek,Advanced Greek Prose,GRK 301,4 hours,Human Expression—Primary Texts,GRK 202,"Prose readings chosen from a single Greek author or from a variety of authors within a particular genre. Authors and works may include Herodotus, Xenophon, Lysias, Plato, the New Testament, the Septuagint, or others.  May be repeated for credit when topics vary."
Greek,Advanced Greek Poetry,GRK 302,4 hours,Human Expression—Primary Texts,GRK 202,"Poetry readings chosen from a single Greek author or from a variety of authors within a particular genre.  Authors and works may include Homer, Hesiod, Sappho, Sophocles, Euripides, or others. May be repeated for credit when topics vary."
Greek,Senior Project,GRK 490,4 hours,,,
Health,Lifetime Health and Wellness,HLTH 100,1 hour,Wellness,,"This common course for all first-year students examines holistic dimensions of wellness and the knowledge, skills, and resources necessary for developing and maintaining health in a diverse world throughout college and across the lifespan.  An emphasis will be placed on individual health and wellness promoting behaviors within an ever changing social environment through weekly lectures, activities, and self-assessments."
Health,Nutrition I,HLTH 125,2 hours,,,"An introductory course emphasizing the fundamental and practical aspects of nutrition.  This course will include discussion of carbohydrates, fats, proteins, vitamins, minerals, and fluids. Special topics such as sport nutrition, supplements, energy balance, weight loss, and food safety will also be examined.  Students will complete a diet analysis, caloric expenditure, and label assignment. (NWNL when combined with HLTH 126)"
Health,Nutrition II,HLTH 126,2 hours,,HLTH 125,"This course explores the application of introductory concepts to the nutritional aspects of health, fitness, and human physical performance. The course will include discussion of food and society, dietary plans, food production and sources, malnutrition in the United States and the world, gastrointestinal disorders and their effects on nutrition. Students will implement knowledge of nutrition into dietary planning and prescription for specific situations.(NWNL when combined with HLTH 125)"
Health,Foundations of Health Education,HLTH 201,2 hours,,,"This is an introductory course for health majors. It provides students with the scope and practice of health educators historically, philosophically, theoretically, and ethically.  Specifically, this course examines the roles and responsibilities of health educators and the settings where they are employed, professional ethics, selected theories, and future directions."
Health,Mental/ Emotional Health: Stress Management,HLTH 233,4 hours,,,"This course approaches stress management from a holistic perspective. Causes of stress, signs and symptoms produced by stress, and modalities for dealing with stress are emphasized. Students will gain stress management knowledge, techniques, and responsible applications in daily lives."
Health,Family Life Education,HLTH 234,2 hours,,,"Family Life Education is designed to help students develop an understanding of various aspects of human relationships with emphasis placed on the unique needs and interests of individuals and families. Topics covered in this course include approaches to sexuality education, education for relationships and marriage, and parenting education."
Health,Personal and Community Health,HLTH 249,4 hours,,,"Course objectives include dissemination of current health and health care information, experiential learning opportunities, and investigation of cultural differences in wellness programs."
Health,"Health Education Content, Methods, and Assessment I",HLTH 343,2 hours,,"Educ 185 or 215, HLTH 201 and Admittance to Teacher Education Program","This course will provide pre-service teachers with the knowledge and understanding required to develop quality K - 12 Health Education programs. Coordinated school health education programs emphasizing comprehensive school health education will be examined. Pre-service teachers will acquire knowledge needed to select developmentally appropriate health education content in accordance with National Health Education Standards. Assessment and evaluation procedures, classroom management, and teaching methodologies will be covered."
Health,"Health Education Content, Methods, And Assessment II",HLTH 344,2 hours,,"HLTH 343, EDUC 366 and Admittance to the Teacher Education Program","Continued development of health content, assessment, and teaching methodologies needed to implement K - 12 comprehensive school health education at appropriate grade levels will be covered. Emphasis is placed upon developing age-appropriate curricula; organizing, designing, and implementing course unit and lesson plans; and assessment and evaluation. This course builds on the content of H343 and the clinical appointment in EDUC 366 and must be taken prior to EDUC 486."
Health,Consumer Health and Safety Education,HLTH 352,2 hours,,HLTH 201,Instruction in factors involved in the selection and evaluation of health services and products. Consumer laws and organizations will also be examined.  An overview of approaches to safety education and injury reduction will be addressed.
Health,Substance Abuse Education,HLTH 358,4 hours,,HLTH 201,"An introduction to social, psychological, pharmacological, and cultural aspects of substance use and abuse. An overview of resources, materials, and instructional strategies available to the substance abuse educators will be presented. Methods of identifying substance abuse problems and substance abuse prevention theories will also be discussed."
Health,Administration and Management of Fitness Programs,HLTH 372,2 hours,,HLTH 201,"Administrative and management issues confronting professionals in the fitness industry will be explored. An overview of organizational issues, scheduling, facilities, personnel, fiscal management, and marketing will be examined. Students will also discuss organizational and management operations as they apply to the fitness professional."
Health,Internship,HLTH 380,"1, 8 hours",,,Supervised on-or-off campus work situations in public or private organizations. Graded credit/no credit.
Health,Current Issues in Health,HLTH 465,2 hours,,HLTH 201,"This course affords students the opportunity to examine local, national, and international health issues. Students will actively participate in selecting course topics, work collaboratively with others in developing and implementing course objectives, and will research, write, and present information on selected course topics."
Health,Senior Project,HLTH 490,"1, 2, or 4 hours",,,
Hebrew,Elementary Hebrew I,HEB 101,4 hours,,,"The first course of a two-semester sequence introducing the essential forms, grammar, and vocabulary of the language. Practice gained through graded exercises and readings provides the basis for translating passages drawn from the prose and poetry of the Hebrew Bible."
Hebrew,Elementary Hebrew II,HEB 102,4 hours,,HEB 101,"The second course of a two-semester sequence which continues the presentation of basic forms and vocabulary. The course includes translation passages of increasing length and complexity, and more reading is done directly from the Hebrew Bible."
Hebrew,Intermediate Hebrew,HEB 201,4 hours,Human Expression—Primary Texts,HEB 102,Selected books and/or passages from the Hebrew Bible chosen according to student interest with the guidance and approval of the instructor.
History,Introduction to the History of the United States for Elementary School Teachers,HIST 101,4 hours,"Human Behavior, Historical, Intercultural",,"This course provides a basic survey of the social, economic, political, and diplomatic history of the United States for the students with little background in U.S. history. Answering the questions: What is America and what does it mean to be American? What is the nature of U.S. democracy? How do the lives of ordinary people intersect with the great events of our past? The course will emphasize content that will be of greatest use for students preparing to teach social studies in the upper elementary grades."
History,Survey of US History Part One,HIST 111,4 hours,"Human Behavior—Social Science Methods, Historical",,"This course surveys American history from the early colonial period to the end of Reconstruction in 1877. Topics are wide-ranging and include the geographic and social evolution of the New England colonies, the Middle Colonies, the Chesapeake, and the Lower South into coherent regions with different economies, social structures and cultural attributes. The course then explores how these various regions successfully cooperated politically with one another long enough to engage in an independence movement that separated them from Great Britain and created the United States. But political, economic and social differences lived on into the nineteenth century, however, and became the basis for the geographic and sectional conflict which erupted into Civil War in 1861. The course closes with the political and economic successes and failures of Reconstruction policy as a bridge to later American history."
History,Survey of US History Part Two,HIST 112,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"This course surveys American history since Reconstruction, exploring transformations in American geography, politics, economics, society, and culture. The course has, as a unifying theme the question of how and why people have defined the American nation in different ways, and how those ideas have related to race and gender. Topics covered include the end of the westward expansion after the Civil War, Indian resistance, industrialization, the Populist political movement, immigration, the successes and failures of the Progressive movement, the First World War, African American migration and cultural innovation, the cultural turmoil of the 1920s, the Depression and New Deal, the Second World War at home and abroad, the Cold War, the Civil Rights Movement, feminism, other social movements, the Vietnam war and the anti-war movement, cultural politics in the 1970s, the Reagan Revolution and the 1980s culture wars, Republican and Democratic party battles of the 1990s, 9/11 and its aftermath, and the Iraq and Afghanistan Wars."
History,Human Geography,HIST 126,4 hours,"Human Behavior—Social Science Methods, Intercultural",,"A survey of world geography combining the regional and topical approaches, the natural factors which shape the environment, such as climate, landforms and resources, will be considered, along with their impact on people, as studied in the fields of political, economic, and cultural geography. The primary focus of the course will be on basic concepts in cultural geography that will be of greatest use for students preparing to teach middle school and high school social studies."
History,African-American History,HIST 135,4 hours,"Human Behavior, Historical, Intercultural",,"This course is a survey of African-American history from the 15th century to the present. Eras and topics include the trans-Atlantic slave trade, slavery in the Americas, the Civil War and Emancipation, segregation, the Great Migration, the Great Depression and World War II, the modern black freedom struggle, and the post-civil rights era.  The class emphasizes how African Americans constructed individual and collective selves, created livelihoods, formed families, communities, and institutions, fashioned cultures, defined citizenship, and consistently defied notions of a monolithic ""black community."" Centering African Americans' words, actions, and artistic creations and the ways they interacted with other cultures and peoples within the Americas and abroad, this course investigates how African Americans shaped and were shaped by the many worlds they traversed. (Same as AFRS 135)"
History,Europe to 1648,HIST 149,4 hours,"Human Behavior—Social Science Methods, Historical",,"An introductory survey of European history from ancient Greece to the end of the ""Religious Wars"" (and the Peace of Westphalia) in 1648. Topics will include: Greece from the Bronze Age to the Hellenistic Empires, Ancient Rome (Republic and Empire), Medieval Europe, the Renaissance, and the Reformation and the Age of Religious Wars."
History,"Europe, 1648 to the Present",HIST 150,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"An introductory survey of European history from the end of the wars of religion in the seventeenth century to the present. Topics will include: the Scientific Revolution: the Enlightenment; Absolutism and the Emergence of the Parliamentary Government; the French Revolution and Napoleon; Reaction and Revolution in the early nineteenth century; The Industrial Revolution; Nationalism and Unification; the ""New Imperialism"" and the Coming of World War I: the ""Thirty Years War of the Twentieth Century""; Postwar Europe: Cold War and Integration."
History,East Asian History,HIST 161,4 hours,"Human Behavior, Historical, Intercultural",,"An introduction to the basic themes and content of East Asian history, from the earlist times to the present. Students will explore the lives of both great and ordinary people who lived in what are now China, Japan, Korea, and Vietnam. Students will consider how empire, international trade, relations of production, and ideologies affected the construction and reproduction of social and cultural groups. Offered alternate years."
History,South Asian History,HIST 162,4 hours,"Human Behavior, Historical, Intercultural",,"An introduction to the basic themes and content of South Asian history from the earliest times to the present.  Students will explore the lives of both great and ordinary people who lived in what are now Afghanistan, Pakistan, India, Bangladesh, Sri Lanka, Nepal.  Students will consider how empire, international trade, relations of production, and ideologies affected the construction and reproduction of social and cultural groups. Offered alternate years."
History,Modern Middle East History,HIST 163,4 hours,"Human Behavior, Historical, Intercultural",,"Students in this course investigate the history of the Middle East, including Iran, Turkey, and northern Africa. The course begins with the Mongol sack of Baghdad in 1258, but its focus on the nineteenth and twentieth centuries allows students to understand the cultural and material processes that inform current events. The course provides important historical context for intellectual discussion among the Abrahamic traditions and requires students to consider social, economic, and cultural factors that may find expression in religious canon and practice."
History,History of Africa to 1880,HIST 171,4 hours,"Human Behavior, Historical",,"Survey of African history from the earliest times to roughly about 1880.  The course begins with the historical development of Africa's still-vital cultural, linguistic, social, and economic systems and moves on to examine the Islamic and Christian impact on these systems through the era of the Atlantic slave trade. The course concludes by discussing the ways in which early European colonialism affected the African past. (Same as AFRS 171)"
History,History of Modern Africa,HIST 172,4 hours,"Human Behavior, Historical, Intercultural",,This course surveys the history of sub-Saharan Africa from the 1880s to the present.  The course examines African life under European colonial domination (from about 1880 to about 1960) and under independent states which succeeded colonial governments after 1960.  A primary aim of this course is to explore the diversity of human experience in Africa during the colonial and post-colonial periods.  The course makes use of several primary documents to portray ways in which men and women have dealt with the challenges of living in 20th- and 21st-century Africa. (Same as AFRS 172)
History,The Golden Age of Atlantic Piracy,HIST 225,4 hours,"Human Behavior—Social Science Methods, Historical",,"Our fascination with seafaring outlaws often begins with characters such as Long John Silver and more recently, Captain Jack Sparrow but also actual historical figures such as Captain Kidd and Blackbeard. This course examines the popular image of pirates and compares it to the lives and culture of real-life pirates who plied their trade across the Atlantic world between 1550 and 1730. Through readings, lectures, movies and class discussions we will address the major themes of the course which include the reasons behind the rise of buccaneering during the early modern era, ships and seafaring culture during this period, the developing economy of the Atlantic world, the social structure of pirate society on sea and land, definitions and attitudes toward authority, liberty and violence among pirates and the increasing military efficiency and reach of the early modern state which eventually spelled the end of widespread piracy in this part of the world by the 1730s."
History,History and Material Culture,HIST 226,4 hours,"Human Behavior—Social Science Methods, Historical",,"This course explores how the study of material culture- objects made or modified by human beings - can inform us about how people thought,lived, and behaved in the past.  The course draws upon the multi-disciplinary nature of material culture studies to offer as a fresh approach to history by using insights from folk art, anthropology, and the decorative arts to augment and broaden what historians have learned through the use of written records.  Significant attention is given to the ways in which museums contribute to the study of material culture by collecting, preserving, identifying, exhibiting, and interpreting these objects. Offered alternate years."
History,Public History,HIST 227,4 hours,"Human Behavior—Social Science Methods, Historical",,"This course explores the various ways in which history is created, incorporated into and presented in U.S. popular culture. This course will combine hands on work with local historical societies, museums, and other public history venues with academic study of public history techniques and ethical challenges. Topics may include the ways in which historical road markers, entertainment corporations (such as the History Channel and Disney), local and regional history associations present history to the public and how the public interacts with these discourses on history. A comparison of the differences in purpose and audience between public and scholarly presentations of history is a central theme of the course. Offered alternate years."
History,The Civil Rights Movement,HIST 235,4 hours,"Human Behavior, Historical",,"In the mid-twentieth century, black and white Americans fought (and many died) for greater rights and freedoms denied by a justice system enmeshed in Jim Crow inequality.  For the past twenty-five years or so, most American schools taught the Civil Rights Movement as an unparalleled success, but in the 21st century, more and more people are asking why there is racial violence and economic inequality if the Civil Rights Movement accomplished what the high school textbooks say it did.  In this class, we will examine the legal, political, economic, and social reforms that the activists of the Civil Rights Movement demanded, along with the pervasive backlash that limited their successes.  We will use the scholarship from history and Africana Studies to investigate these questions, in addition to a range of primary sources including speeches, music, film, television, memoirs, oral histories, and photography.(same as AFRS 235)"
History,Rome:Republic and Empire,HIST 241,4 hours,"Human Behavior—Social Science Methods, Historical",,"A survey of the Roman Republic and Empire, concentrating on the social and economic background of Romes's rise and fall as well as on the military and political aspects of expansion and decline.  Special emphasis on the Punic and Mecedonian Wars, civil war and the end of Republic, Roman influence on France and Britian, Christianity in the imperial period, and Roman interaction with the Germans. Offered alternate years."
History,Medieval History,HIST 242,4 hours,"Human Behavior—Social Science Methods, Historical",,"An introduction to medieval European history from the dissolution of the Roman Empire to the end of the Great Schism. The class focuses on western Europe, but pays close attention to its encounters with the Muslim east and the Viking north. Special emphasis is given to the flowering of medieval culture (monasteries, mystics, villages, and universities) as well as the crises of the period (crusades, heresy, and inquisition, Hundred Years' War, and the Black Death).  Offered alternate years."
History,"Christianity and Islam: Encounters and Perceptions, 632-1683",HIST 243,4 hours,"Human Behavior, Historical",,"This course will investigate the many varied contacts between Christians and Muslims, as well as the changing perceptions and attitudes each group had of the other, from the death of Muhammad (632) to the Battle of Vienna (1683).  Analysis of these interactions will focus on distinct epochs and events including: immediate Christian responses to the rise of Islam; the relationships among the Carolingians, Umayyads, and Abbasids; convivencia on the Iberian Peninsula in the 9th-11th centuries; the Crusades; intellectual and commercial interaction in the 12th century; Europe and the rise of the Ottoman Empire; and Renaissance and Reformation perceptions of Islam. This course will demonstrate how specific historical contexts influenced religious interactions, military encounters, and economic and cultural exchanges, as well as perceptions of the other."
History,"Rulers, Reform, and Revolution:The History of Early Modern Britain",HIST 250,4 hours,"Human Behavior, Historical",,"This class covers two centuries of dramatic change in Tudor-Stuart England. Encompassing the period from 1485 to 1689, the course considers the political, social, and religious history of Great Britain, during a period in which the monarchs in the south attempted to expand their control over the entire territory; the official religion of the land changed with surprising frequency; and the country eventually fell into civil war and revolution. In this survey course, students will be introduced to the major trends, characters and events of this period, examining them in depth via a variety of primary sources, such as letters, journals, and legal documents."
History,Russian History,HIST 254,4 hours,"Human Behavior, Historical, Intercultural",,"A general survey of Russian-Soviet history from the founding of Kievan Rus in 862 to the present day. Special emphasis given to the topic of empire, including interactions between people on the periphery and the core, the methods Russian/Soviet rulers used to expand and control territories and peoples, and how this changed over time."
History,Scandinavian Immigration History,HIST 256,4 hours,"Human Behavior, Historical, Intercultural",,"A study of the history of immigrants to the United States from Norway, Sweden, Denmark, Finland, and Iceland, and their descendants. Drawing on the rich ethnic resources of Luther College and Vesterheim museums, this course examines the nature of the immigration experience and the development within immigrant communities of a sense of old world ethnicity combined with a rising U.S. nationalism. Offered alternate years."
History,Everybody Loves Gandhi,HIST 262,4 hours,"Human Behavior, Historical",,"M. K. Gandhi remains the Indian most indelibly associated with India, one of the most frequently-quoted thinkers of all time, and one of the most important figures in developing the theory and practice of non-violent resistance. However, Gandhi's ideas and philosophy have managed to become detached from the historical context in which they were created, and indeed from the human being who created them. This course examines Gandhi's life, political positions, and political legacies in India and globally, in an effort to re-evaluate his achievements and failures, to place his life within the broader historical context of India in the early twentieth century, and to consider the reasons why some people, since his death, have variously beatified and demonized the man and his ideas."
History,African Diaspora,HIST 271,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"This course explores the global experiences of people of African descent. Students will study the human experiences of Africans in the Indian Ocean world, the trans-Saharan trade and the Trans-Atlantic slave trade. Geographical areas include Asia, the Caribbean, and Latin America. Particular attention will be given to the web of interrelated histories, social dynamics, political, and economic processes affecting and reflecting world cultures and histories.  (Same as AFRS 271)"
History,Gender and Women's History,HIST 290,4 hours,"Human Behavior—Social Science Methods, Historical",,"Faculty teaching this course will focus on the history of gender within their own period of expertise. The course will examine such gender questions as: Why and how should we study the history of gender? What do gender roles from the past tell us about our own gender experience? How do the histories of men and women as gendered persons intersect? The course will focus on these questions as they are related to the history of work, family, politics, and social behavior for the particular period and nation the instructor selects. (Same as WGST 290)"
History,Environmental History,HIST 291,4 hours,"Human Behavior—Social Science Methods, Natural World—Nonlab, Historical, Intercultural",,"This course introduces students to the field of environmental history. Students will examine the ways in which humans, plants, animals, and microbiota have acted as agents in the history of the world. The course emphasizes historical developments after 1300 and especially investigates the roles of science, colonialism, capitalism, and the state in changing the physical state of the environment and the ways humans understand their surroundings."
History,The Historian's Craft,HIST 298,4 hours,Human Behavior—Social Science Methods,PAID 111 and 112 or transfer equivalents,"This class introduces students to the study of history as an academic discipline.  During the semester, students will become familiar with historiography; the scholarly techniques, theories, and principles of historical research.  Among other issues, we will consider how historians formulate and compose their accounts of the past.  What factors affect the composition of history?  What sources do historians use?  How do they select, analyze, and present those sources to their readers?  Who are those readers, and to what extent do they determine the stories historians tell?  What methodologies do historians commonly use in writing historical accounts, and which ones are most effective?  Students will find this historiographic knowledge beneficial to junior and senior-level research projects."
History,Topics in History - Abroad,HIST 299,4 hours,"Human Behavior, Historical, Intercultural",Sophomore standing,"In-depth study of selected topics in history, taught during January term as part of Luther's study abroad offerings. Individual subjects will vary depending on faculty member and location. Possible subjects include: Viking life in Scandinavia and Ireland; reading local history in India; the Holocaust; and the Reformations in Europe."
History,Topics in U.S. History,HIST 321,4 hours,Human Behavior—Social Science Methods,PAID 112 or transfer equivalent.,"In-depth study of a selected topic in U.S. history. Introduction in this course will require students to read and assess monographs written by prominent historians related to the topic. Students will write an eight-to-ten-page research paper on a subject linked to the selected topic. Topics may include but are not limited to: Revolutionary America, disease in the American past, history of the American family, U.S. immigration history, the Vietnam War."
History,Topics in African American History,HIST 331,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"In-depth study of a selected topic in African American history.  Instruction in this course will require students to read and access monographs written by prominent historians related to the topic.  This course will require intensive engagement with primary and secondary sources in writing.  Topics may include but are not limited to:  Black Family History; Black Urban History; The Hip Hop Generation, 1975-2015."
History,Vikings in History,HIST 348,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"This course covers the ""Viking Era,"" approximately 780 - 1070 CE. It will examine Viking society, religion and mythology, social structure, maritime technology and shipbuilding, political developments, literature and arts, and Viking expansion."
History,Topics in European History,HIST 351,4 hours,"Human Behavior, Historical",PAID 112 or transfer equivalent.,"In-depth study of selected topics in European history, covering such themes as economic, social, political, intellectual, and military history. Possible subjects include: the Carolingians; medieval mystics; the Black Death; the Dutch Golden Age; Islam and Christianity: historical encounters; the history of Spain; the Age of Scientific Revolution and Enlightenment; the French Revolution and Napoleon; British History (different periods depending on instructor); Hitler and Nazi Germany."
History,Scandinavia and the Baltic,HIST 352,4 hours,"Human Behavior, Historical, Intercultural",PAID 112 or transfer equivalent,"A survey of Scandinavian and Baltic history (including Finland and Iceland), beginning with the Viking age and ending with the current status of the welfare state in the relevant countries. Special emphasis on the Great Power periods of Denmark and Sweden in the 16th and the 17th centuries, and on the emergence of Norwegian and Finnish national movements in the 18th and 19th centuries. Discussion as well of current political and economic issues in Scandinavia.  Offered alternate years."
History,The Reformation in Renaissance Europe,HIST 355,4 hours,"Religion, Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"An in-depth analysis of the various elements of the Protestant and Catholic Reformations in the context of Renaissance Europe. The focus is on the traditions, beliefs, values and theologies of the Christian religious reformation and the influences on that reformation from the many cross-cultural currents in the sixteenth century, in particular the ideas and methods promoted by the Renaissance thinkers. The course will also include various aspects of social, economic, and political history, as part of the effort to contextualize the reformers' ideas, as well as their impact across society. Offered alternate years."
History,Topics in East Asian History,HIST 361,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"In-depth study of a selected topic in East Asian history. Topics may cover the whole history of a particular country or may focus on a more limited time period in that country's history. Topics may also investigate diplomatic, economic, or cultural interactions between countries or explore themes commmon to multiple East Asian states. Offered alternate years."
History,Topics in South Asian History,HIST 362,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"In-depth study of a selected topic in South Asian history. Topics may cover the whole history of a particular country or may focus on a more limited time period in that country's history. Topics may also investigate diplomatic, economic, or cultural interactions between countries or explore themes common to multiple South Asian states."
History,Topics in African History,HIST 371,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent.,"In-depth study of a selected topic in African history. Instruction in this course will require students to read and assess mnonographs by African historians on the topic. Topics may include but are not limited to apartheid in South Africa and Zimbabwe, decolonization, nationalism, environmental history of sub-Saharan Africa. (Same as AFRS 371)"
History,Topics in Africana History,HIST 391,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",PAID 112 or transfer equivalent,"In-depth study of a selected topic in Africana history, emphasizing links between the African continent and the African diaspora.  Instruction in the course will require students to read and assess monographs written by prominent historians related to the topic.  This course will require intensive engagement with primary and secondary sources in writing.  AFRS 391/HIST 391 explores how people of African descent on the continent and in the diaspora interacted with each other and with European colonial powers.  The course explores interactions across empire and national boundaries as well as between different cultural groups.  Topics may include but are not limited to: Comparative Slavery, Pan-Africanism, Black Internationalism."
History,Junior-Senior Seminar,HIST 485,4 hours,,HIST 298 and 16 credits in history ,"A detailed study of specialized topics in African, Asian, European or U.S. history depending on the instructor. Selections of topics may also focus on themes and ideas that transcend national boundaries. Students will engage in original research; case studies have a strong emphasis on historical writings."
History,Senior Project,HIST 490,2 hours,,,Projects build upon students' previous experience with scholarly research and include both a substantial piece of writing as well as an oral presentation of the findings. Senior projects will be written under the direction of the faculty member most appropriate to the research topic. Each student will make individual arrangements with that professor.
International Studies,Exploring Britain,IS 135,4 hours,,,"A year-long course in which Nottingham students travel to a variety of historical and cultural sites. Trips include approximately six weekend field trips to sites that may include London, Stratford-upon-Avon, the Lake District, Northern Ireland, Scotland, and Wales. Course work will also include research, reading, presentations, and discussion pertaining to each trip."
International Studies,Exploring Malta and the Mediterranean,IS 136,2 hours,,,"This is a one semester course in which Malta students take three course trips to countries around the Mediterranean.  Trip sites may include Morocco, Italy, Greece, Turkey, Croatia, Spain or Jordan.  Course work will include research, reading, writing, presentations and discussions pertaining to each trip."
International Studies,Introduction to International Studies,IS 230,4 hours,Intercultural,"At least two of the following: ANTH 101, ECON 130 and POLS 132","An introduction to the field of International Studies, focusing on global and geographical literacy and using multiple disciplinary approaches to analyze such issues as war and peace, environmental sustainability, economic development, post-colonialism, world religions, and cultural identity."
International Studies,Global Citizenship,IS 450,4 hours,,,"This course is designed for students who have lived or spent a semester or more studying abroad.  It will enable students to reflect on how their immersion in a foreign culture has affected their values and vocation.  By combining practical experiences with scholarly and artistic works, students will a)reflect on the role of culture, b)think about the articulation and application of values in the public sphere, c)explore the relation among politics, economics, culture, and society, and d)develop their own ethical perspectives as ""global citizens.""  There will be a heavy emphasis on writing, group work, and oral presentations."
International Studies,International Studies Seminar,IS 485,4 hours,,IS 230 and junior standing,An advanced-level research and discussion course focusing on global issues as a culmination of the International Studies major or minor.  Students apply multiple disciplinary perspectives to projects related to their individual IS programs and to the global themes identified in their IS major or minor plan of study.
International Studies,Senior Project,IS 490,1 hour,,,"A year-long independent research project. Applications are completed on the ""Honors Program"" form available at the registrar's office, requiring the signatures of a faculty supervisor, the department head, the honors program director, and the registrar. Interdisciplinary projects require the signatures of two faculty supervisors. The project must be completed by the due date for senior projects. The completed project is evaluated by a review committee consisting of the faculty supervisor, another faculty member from the major department, and a faculty member from outside the major department. All projects must be presented publicly. Only projects awarded an ""A- or A"" qualify for ""department honors"" designation. The honors project fulfills the all-college senior project requirement."
Intersections,Scholars Colloquium,INTS 130,1 hour,,,"This is a 1-credit course that provides small-group discussions of readings, of local or national current events, or of the amazing cultural and intellectual events available on campus. Some sections of the colloquium focus on a particular theme for the semester; others range more broadly to include attendance at such events as lectures (by Luther faculty members and visiting scholars and dignitaries), concerts (ranging from classical to jazz to contemporary), theatre and dance performances, poetry readings, and art shows. The various sections of Scholars Colloquium are taught by faculty members from across the curriculum."
Journalism,News Practicum,JOUR 100,0 hours,,,"This practicum consists of one full semester of work at either CHIPS or KWLC, as regular staff members. Students will participate fully in the gathering, production, or editing of news stories. Students may use two semesters at CHIPS, or two semesters at KWLC, or a combination of the two, to fulfill the requirement for the Journalism minor."
Journalism,Internship,JOUR 380,"1, 2, or 4 hours",,,Supervised work experience at an off-campus news organization.
Latin,Elementary Latin I,LAT 101,4 hours,,,"The first course of a two-semester sequence emphasizing the basic grammar, vocabulary, and syntax of Latin."
Latin,Elementary Latin II,LAT 102,4 hours,,LAT 101,"The second course of a two-semester sequence which continues the study of ancient Latin grammar, vocabulary, and syntax. Passages are drawn from a variety of Latin works."
Latin,Intermediate Latin,LAT 201,4 hours,Human Expression—Primary Texts,LAT 102,"A review of Latin grammar, vocabulary, and syntax, followed by readings from a variety of authors and works."
Latin,Readings in Latin,LAT 202,4 hours,Human Expression—Primary Texts,LAT 201,"Fourth-semester readings from one or more Latin authors or works, such as Cicero, Catullus, Virgil, and Medieval Latin."
Latin,Advanced Latin Prose,LAT 301,4 hours,Human Expression—Primary Texts,LAT 202,"Prose readings chosen from a single Latin author or from a variety of authors within a particular genre.  Authors and works may include Cicero, Livy, Tacitus, early Christian literature, Medieval Latin orothers.  May be repeated for credit when topics vary."
Latin,Advanced Latin Poetry,LAT 302,4 hours,Human Expression—Primary Texts,LAT 202,"Poetry readings chosen from a single Latin author or form a variety of authors within a particular genre. Authors and works may include Virgil, Horace, Ovid, or others. May be repeated for credit when topics vary."
Latin,Senior Project,LAT 490,4 hours,,,
Linguistics,Introduction to Linguistics,LING 131,4 hours,Human Behavior,,"Every time we utter a word, no matter how mundane, we engage in a remarkable and, to the best of our knowledge, uniquely human behavior.  This course explores the human capacity to acquire and use language.  Topics include the nature of dialectal differences and the sociolinguistic factors which determine them, the ways in which languages vary and the importance of linguistic diversity, and the nature of the knowledge of language and how it relates to child language acquisition and other aspects of human cognition."
Linguistics,Introduction to Syntax,LING 133,4 hours,"Human Behavior—Social Science Methods, Quantitative",,"The syntax of natural languages is a beautifully complex system of subconscious rules. What are they like? This course enables students to engage in building a theory of syntax. After an introduction to the basic tools of syntactic analysis, students tackle increasingly complex sets of data from English (and, occasionally, other languages), proposing and testing competing hypotheses against each other and refining them in light of new data. By the end of the course, students are able to identify syntactic puzzles in English or another language of their choice, propose analyses in the theory they have developed, and present their research in written and oral form."
Linguistics,Phonetics and Phonology,LING 220,4 hours,Human Behavior,,"When listening to the sounds of language, humans don't function like tape recorders; we overlook distinctions to which mechanical recording devices are sensitive, and we ""hear"" contrasts which are objectively not there. What we (think we) hear is determined by the sound system of the language we speak. This course examines the sound systems of human languages, focusing on how speech sounds are produced and perceived, and how these units come to be organized into a systematic network in the minds of speakers of languages."
Linguistics,Words,LING 235,4 hours,Human Behavior,,"This course examines what a word is: how we know one when we see one, how we assemble them from smaller pieces, and what meanings we use them to express.  Drawing on examples from a wide range of languages, we develop an appreciation not only for how languages vary but for what all of this can tell us about the nature of the human mind."
