Location,Name,Date,ID,Prize
Europe (Online),DreamHack Open Winter 2017 Europe Open Qualifier,2017-11-11,3271,
,MFJV 2013,2013-09-01,1185,
,EMS One Katowice Nordic Qualifier Cup #2,2014-01-25,1296,
Online (EU),SkinCoin Invitational,2017-10-17,3291,
"Buenos Aires, Argentina",Logitech G Challenge 2017,2017-09-22,3215,"$3,000"
Online (EU),Skinhub CS:GO Championship #1,2017-07-24,3004,"$10,000"
Online (Australia),Unikrn TV Australian Showdown,2017-08-16,3086,"$7,895"
Online,DreamHack Open Summer 2017 Europe Open Qualifier,2017-05-20,2862,
Europe (Online),FCDB Cup 2017 Closed Qualifier,2017-10-29,3311,
,Caseking of the Hill #8,2014-09-16,1485,
Online,Mega8 Autumn Cup 2017,2017-03-31,2762,"$3,847"
,Golden Chance,2015-08-02,1867,
,ESWC 2012 France Pre-Qual. #3,2012-10-03,985,
"Kuala Lumpur, Malaysia",ROG MASTERS Asia 2016,2016-11-10,2423,"$50,000"
Online (Asia),DreamHack Open Cluj-Napoca 2015 Asian pre-qualifier,2015-09-05,1918,
"Prague, Czech Republic",ROG COOL League Season 2 Finals,2017-09-30,3233,"$2,715"
Online,ECS Season 2 EU Development League Open Qualifier #1,2016-08-06,2358,
"Ulaanbaatar, Mongolia",Mountain Dew League Mongolia - FALL 2017 INVITE,2017-11-12,3353,$611
,ESL UK Community Challenge S1 Cup #6,2014-06-10,1385,
"Johannesburg, South Africa",BHG CS:GO Tournament,2015-12-12,2067,
,99Damage Arena #7,2015-05-12,1755,
Online,DreamHack Open Cluj-Napoca 2015 NA pre-qualifier,2015-09-08,1920,
"Copenhagen, Denmark",Copenhagen Games 2017 BYOC Qualifier,2017-04-13,2675,
,JCG CS:GO Premier 2015 Summer,2015-10-03,1962,
Online,ECS Season 3 Europe,2017-04-14,2728,
,GIGACON 2014,2014-10-04,1505,
,ESEA Premier Season 21 Europe,2016-04-10,2210,
"Lisbon, Portugal",xfunction Champions Series 2016,2016-11-18,2585,"$2,130"
,D!ngIT CS:GO Asia Invitational Season 1,2015-10-31,1995,
,Game Show League Season 2 EU Qualifier,2015-02-08,1653,
,AlienTech AllStars,2015-11-20,2023,
"Vuokatti, Finland",NeSA 2017,2017-07-07,2955,"$11,157"
,The Nordic Games #2 Finnish qualifier,2013-02-14,1059,
"Portorož, Slovenia",Gaming Paradise 2015,2015-09-06,1764,"$50,000"
Online,ESEA Open Season 24 South Africa,2017-04-11,2751,"$2,000"
,ESEA Invite Season 15 Global Finals,2014-01-18,1287,
,DreamHack Nordic Championship 2016 - Qualifier,2016-11-10,2560,"$2,176"
"Tours, France",DreamHack Open Tours 2017,2017-05-06,2568,"$100,000"
"Santa Ana, California, USA",Americas Minor - PGL Major Krakow 2017,2017-06-08,2722,"$50,000"
,EMS One Katowice 2014,2014-03-13,1333,"$250,000"
Online (Sweden),Philips OneBlade Cup 2017 Swedish Qualifier,2017-10-09,3270,
,UnderDogs #3,0,2253,
,ESWC 2013 NA Qualifier,2013-09-23,1207,
,Telkom Do Gaming League Winter 2014,2014-07-06,1410,
,DreamHack Open London 2015 Closed Qualifier,2015-08-17,1892,
Online (Japan),eXTREMESLAND 2017 Japan Open Qualifier,2017-08-27,3009,
,ESL Meisterschaft Summer 2016 Finals,2016-08-20,2343,"$15,700"
Online,ESL One Cologne 2017 - North America Qualifier 2,2017-04-29,2794,
Online,ECS Season 3 NA Development League Open Qualifier #1,2017-02-19,2692,
Online,ECS Season 2 EU Development League Open Qualifier #3,2016-08-21,2383,
,ESL Barcelona European Qualifier,2016-01-19,2123,
"Barcelona, Spain",WESG 2017 Europe &amp; CIS Regional Finals,2017-11-23,3114,"$92,500"
Online (North America),ECS Season 4 North America,2017-10-06,3060,
Online,ROG MASTERS 2016 Rest of Asia Qualifier,2016-10-08,2498,
"Tours, France",DreamHack Regional Minor Championship Europe at DH Tours 2016,2016-05-14,2212,"$50,000"
,IEM Sydney 2017 ANZ Open Qualifier,2017-03-25,2754,
Online,WESG 2016 Benelux,2016-09-23,2458,
,D!ngIT $2000 Weekly Cup #31,2015-12-21,2090,
,MSI Beat it! 2013 European Finals,2013-08-26,1181,
,DreamHack Summer 2014,2014-06-14,1373,
"Jakarta, Indonesia",ROG MASTERS 2017 Indonesia Regional Finals,2017-09-16,3188,
,RADEON Offensive #2,2013-04-20,1111,
,PGS 2012 CS:GO,2012-10-13,993,
,DreamHack Winter 2014,2014-11-27,1553,"$250,000"
Online,World Championships 2015 European Qualifier,2015-08-10,1871,
,CS Select #24,2015-08-14,1888,
,MČR 2015,2015-11-07,2004,
,ESWC 2014 China Closed Qualifier,2014-09-11,1479,
,FACEIT Cup July 2013,2013-08-08,1171,
,Caseking of the Hill #7,2014-09-09,1472,
"Saint Petersburg, Russia",EPICENTER 2017 Wild Card Qualifier,2017-10-23,3153,"$10,000 + 2 spots at EPICENTER 2017"
,ESL Pro League Winter 2014/15 Iberian Qualifier,2014-11-13,1542,
,ESEA Open Season 22 Asia,2016-08-06,2359,$1750
,Areena #4 by SteelSeries,2014-06-28,1401,
Elmia,ESU Razer CS:GO Ladies Tournament 2016,2016-11-24,2598,"$4,250"
Online (Australia),AOC CyberGamer Premier League Spring 2017 Closed Qualifier,2017-08-21,3088,
"Atlanta, Georgia, USA",ELEAGUE Major Main Qualifier,2016-12-15,2472,
,Gothenburg Games 2015,2015-11-20,2025,
Online,ROG MASTERS 2016 Oceania Qualifier,2016-09-10,2428,
,G3 Qualifier #2,2014-06-27,1400,
"Jakarta, Indonesia",eXTREMESLAND 2017 Indonesia Regional Finals,2017-09-10,3168,
Stavanger,DigitalityX,2017-07-09,2982,"$5,975"
Online (NA),EPICENTER 2017 Americas Qualifier #2,2017-09-09,3149,
Leicester,ESEA Season 24 MDL Global Challenge,2017-05-13,2749,"$50,000"
"Toronto, Canada",WorldGaming CS:GO Canadian Championship Series 2017,2017-09-23,3020,"$44,750"
"Cologne, Germany",ESL One Cologne 2015,2015-08-20,1666,"$250,000"
,ESL Pro Series Germany Winter 2013 Cup #1,2013-10-07,1230,
Online,Dust2.dk Masters #1,2016-12-15,2623,"$1,788"
,ESL UK Community Challenge S1 Cup #2,2014-05-13,1364,
Online (South America),mmbets.net Stars Challenge South America,2017-08-21,3011,"$2,500"
,D!ngIT $2000 Weekly Cup Qualifier,2015-11-22,2029,
,WESG 2016 Peru,0,2483,
,TECHLABS Cup 2013,2013-03-23,1088,
"Suzhou, China",WESG 2016 China Finals,2016-10-01,2409,
,ESWC 2014 France Vakarm.net pre-qual #1,2014-09-14,1478,
Online,ECS Season 1 Qualifier,2016-04-06,2202,
,RGN Intercontinental Open: NA,2015-02-18,1664,
Online,ESL Pro League Season 4 - Europe,2016-08-17,2369,
Online,MID.TV Challenge Cup #1,2017-11-27,3384,"$15,000"
"Prague, Czech Republic",Tiger Masters Season 3 Finals,2017-10-22,3304,"$1,720"
,FACEIT League 2 EU pre-qualifier #2,2014-08-10,1448,
"Johannesburg, South Africa",ESL African Championship Season 2 Finals,2017-10-06,3239,"$46,096"
Online,IEM Katowice 2017 EU Open Qualifier 1,2017-01-16,2653,
Online (EU),ELEAGUE CS:GO Premier 2017 Europe Qualifier,2017-08-26,3017,
"London, England",Gfinity Elite Series Season 2,2017-10-07,3201,"$110,000"
Online,Alienware Liga Pro Gamers Club - JUL/17,2017-08-02,3038,"$2,300"
"Sofia, Bulgaria",VitalBet Balkan Pro League Finals,2016-12-03,2547,"$5,000"
Tampere,LanTrek 2017,2017-03-02,2706,"$5,250"
Online,GeForce Cup 2017 Closed Qualifier,2017-05-10,2778,
,Hitbox Arena Showdown,2014-07-16,1418,
,D!ngIT $2000 Weekly Cup #3,2015-06-04,1796,
Online,DreamHack Masters Malmö 2016 Asia Open Qualifier,2016-03-12,2171,
"Katowice, Poland",ESL One Katowice 2015,2015-03-12,1611,"$250,000"
,WCA 2016 China Qualifier 3,2016-10-21,2528,"$32,600"
"Haarlem, Netherlands",ROG MASTERS 2017 Benelux Finals,2017-08-05,2997,
,LAN ETS 2013,2013-03-03,1077,
"Copenhagen, Denmark",Copenhagen Games 2017,2017-04-14,2753,"$56,300"
"Lima, Peru",Omen Strike One 2017,2017-11-17,3368,"$6,250"
Online,Rising Stars SEA Promotional Cup,2016-04-20,2219,"$5,000"
Online (EU &amp; CIS),Binary Dragons Prestige LAN Closed Qualifier,2017-08-17,3094,
"Katowice, Poland",ESL One Katowice 2015 Main Qualifier,2015-02-14,1644,
,Gaming Challenge 2014,2014-05-25,1369,
,Infinite Challenge Cup Weekly #2,2017-06-02,2891,"$1,449"
,SLTV StarSeries V Relegation,2013-04-18,1110,
,WESG 2016 Malaysia &amp; Indonesia,0,2493,
Online,VitalBet Balkan Pro League,2016-11-01,2546,
"Sofia, Bulgaria",OMEN by HP ComicCon Bulgaria 2017,2017-09-09,3163,"$2,980"
"Atlanta, Georgia, USA",ELEAGUE Clash for Cash,2017-06-16,2853,"$250,000"
,ESL Pro Series France XI Cup #7,2013-11-13,1263,
Online,QuickShot Arena #26,2016-10-12,2507,"$1,500"
,Game Show Global eSports Cup 2016,2015-11-20,2024,
,WESG 2016 Brazil,2016-10-12,2512,
,ESL UK Community Challenge S2 Cup #6,2014-09-02,1473,
,Gamergy Final Cup 8,2015-06-28,1827,
Online,TNA Challenge Cup Qualifier ,2017-10-16,3288,
,ESL Pro Series Germany Winter 2013 Cup #3,2013-10-21,1246,
,ESL Pro Series Germany Winter Season 2013,2013-11-25,1271,
,SocialNat Master League,2015-10-03,1964,
"Los Angeles, California",cs_summit Spring 2017,2017-04-20,2641,"$150,000"
,TIGER MASTERS Mid-season Finals,0,2236,
,DreamHack Summer 2013,2013-06-15,1151,
,DreamHack Summer 2014 Closed Qualifier,2014-05-30,1376,
Online,Hellcase Cup 4 Closed Qualifier,2017-04-25,2812,
"Saint Petersburg, Russia",EPICENTER 2017,2017-10-24,3133,"$490,000"
"Las Vegas, Nevada, USA",DreamHack Masters Las Vegas 2017,2017-02-15,2541,"$450,000"
,CS Select #20,2015-07-30,1851,
"Buenos Aires, Argentina",Temporada de Juegos LAN 2017,2017-08-26,3124,"$3,000"
Online,Game On CS:GO June Invitational,2016-06-13,2283,
,Caseking of the Hill #4,2014-08-06,1446,
Online (Europe),Stream.me Gauntlet: CIS vs EU #15,2017-11-20,3367,"$1,500"
,King of Adria,0,2322,
"Moscow, Russia",CIS Minor - PGL Major Krakow 2017,2017-06-08,2724,"$50,000"
,DreamHack Winter 2014 NA Closed Qualifier,2014-10-21,1522,
"Cologne, Germany",ESL Meisterschaft Summer 2017 Finals,2017-08-26,3123,"$17,222"
,ESL Pro Series Germany Winter 2014 LAN Finals,2014-12-13,1578,
,SL i-League Invitational Shanghai 2017 CIS Qualifier,2017-09-20,3195,
,SLTV ProSeries VIII,2013-12-14,1275,
"Columbus, Ohio, USA",MLG Columbus 2016,2016-03-29,2027,"$1,000,000"
,QuickShot Arena #16,2015-11-25,2035,
Online (Germany),99Damage League Season 6,2017-09-06,3161,"$11,915"
Online (Denmark),Philips OneBlade Cup 2017 Danish Qualifier,2017-10-30,3294,
,Go4CS:GO Cup #60,2013-09-08,1193,
Beijing,WCA Season 2 China Finals,2016-09-03,2417,"$22,448"
Online,DreamHack Open Austin 2017 Europe Closed Qualifier,2017-03-26,2736,
,HyperX Cup Finals,0,2251,
"Brno, Czech Republic",Czech Championship 2016,2016-11-04,2552,"$3,430"
Katowice,ESL Polish Championship Spring 2017,2017-04-29,2798,"$17,478"
,ESL Pro Series Poland Season 9 Qualifier,2014-08-26,1463,
Online,Uprise Champions Cup: Europe,2015-11-25,2033,"$15,000"
,CIS Rising League Season 2,2014-12-21,1592,
Online (France),WESG 2017 France,2017-10-02,3235,
,ESL Pro Series Spain XI,2013-07-02,1158,
,Prague Challenge,2013-07-13,1164,
,Caseking of the Hill #1,2014-07-16,1422,
,RaidCall EMS One Spring 2013 Finals,2013-04-13,1102,
,99Damage Arena #6,2015-04-28,1737,
Online,UK Masters Spring 2017,2017-04-01,2758,"$3,017"
Online,Uprise Champions Cup Season 4 Qualifier,2016-01-28,2129,
"Porto, Portugal",4Gamers CS:GO Masters Porto,2017-10-21,3302,"$9,424"
"Lai Chi Kok &amp; Wan Chai , Hong Kong",ROG MASTERS 2017 Hong Kong &amp; Macau Qualifier,2017-08-12,3031,$768
,Fragbite Masters Season 4 Last Chance Qualifier,2015-05-12,1756,
Online (Asia-Pacific),ZEN League Season 2,2017-09-12,3134,
Online,Operation: Kinguin #4,2017-04-03,2769,"$5,000"
"Toronto, Canada",Americas Minor - ELEAGUE Major 2018,2017-11-02,3252,"$50,000 + 2 spots at Main Qualifier"
,UCC ShowMatch Cup,2015-12-01,2044,
,EMS One Katowice French National Finals,2014-02-07,1304,
Montevideo,Game Smash Uruguay 2016,2016-12-11,2621,$275
,LanTrek 2013,2013-01-12,1042,
,WESG 2016 Korea,2016-10-16,2525,
Online,MLG Regional Minor South America Qualifier,2016-04-25,2230,
Online (EU),ESEA Main Season 25 Europe,2017-08-16,3041,"$9,000"
,AlienTech CS:GO European Cup II,2015-12-14,2076,
"Belgrade, Serbia",GamePub 2016,2016-07-16,2317,
"Madrid, Spain",ESL Clash of Nations,2017-10-27,3204,"$10,000"
"Porto, Portugal",AlienTech CS:GO League Season I Finals,2016-04-08,2179,
Online,QuickShot Arena #5,2015-09-02,1917,"$2,000"
,ESWC 2014 Russia &amp; Ukraine Qualifier,2014-10-11,1513,
,World Championships 2015 Oceanic Qualifier,2015-05-30,1784,
Online,Nordic Championship Season 1,2017-06-26,2912,
Braga,Minho Electronic Esports Cup,2017-04-22,2823,"$2,145"
Online (NA),ESEA Main Season 25 North America,2017-08-16,3040,"$9,000"
,BREKAN Cuadrangular 2015,2015-02-08,1654,
"Istanbul, Turkey",ESL Turkey Championship 2017 Finals,2017-11-05,3334,"$19,500"
,ECS Season 2 NA Development League,2016-09-09,2420,
Tallinn,TTU e-Sport Summer 2016,2016-08-20,2381,"$1,700"
,CyberGamer Premier League 4 Finals,2015-10-31,1996,
,DreamHack Winter 2014 Last Call Qualifier,2014-11-22,1555,
,King of Nordic Season 4,0,2241,
,Fnatic FragOut CS:GO League,2013-01-27,1049,
Online (SEA),IEM Oakland 2017 South-East Asia Qualifier,2017-09-23,3135,
,DreamHack ZOWIE Open Summer 2016 Closed Qualifier #2,2016-06-05,2277,$0
,IEM Katowice 2017 NA Closed Qualifier,2017-02-04,2657,
"Trnava, Slovakia",PG WAY Trnava 2017,2017-08-12,3087,"$2,364"
"Ljubljana, Slovenia",NEST 2017,2017-08-26,3118,"$1,175"
,Hitbox Arena Showdown Invitational #2,2015-08-17,1894,
,QuickShot Arena #1,2015-07-29,1862,
,ESL Pro Series Germany Winter 2013 Cup #4,2013-10-28,1248,
,Gfinity CS:GO UK Championship Finals,2015-11-21,2028,
,ESL One Cologne 2014 South-West pre-qualifier,2014-07-02,1409,
,PGL eGG Minor Oceania Qualifier,2016-10-15,2517,
"Minsk, Belarus",META &apos;17,2017-09-23,3205,"$1,500"
,Assembly Summer 2014 qualifier #1,2014-07-08,1414,
Online,WESG 2016 Adriatica,2016-09-21,2448,
,Insomnia XIV,2012-10-27,1004,
Online (Asia),Infinite Challenge Cup Weekly #3,2017-06-09,2898,"$1,449"
,ESL One Cologne 2014 North American qualifier,2014-07-17,1423,
,SLTV StarSeries XIII,2015-05-19,1762,
,DreamHack Winter 2013 FACEIT Online Qual.,2013-11-19,1267,
Online (Brazil),ESEA Open Season 25 Brazil,2017-08-10,3045,"$2,475"
Bucharest,PC-Coolers League Season 1 Finals,2017-05-06,2845,"$1,093"
"Viljandi, Estonia",interLAN Vol. 6,2016-12-11,2620,"$2,640"
,ESEA Open Season 22 Oceania,2016-08-10,2366,"$1,750"
,SL i-League Invitational China Qualifier,2016-04-14,2200,
"Shenzhen, China",China Top 2017 Shenzhen,2017-11-19,3292,"$113,361"
,EMS One Katowice Nordic Qualifier Cup #1,2014-01-10,1283,
"Santiago, Chile",LCG Copa Invierno 2017,2017-09-09,3171,$640
,FACEIT League 2015 European Qualifier #1,2015-01-17,1632,
"Rega, Latvia",HyperX GOEXANIMO CS:GO 5x5 #5,2017-09-10,3174,"$1,083"
,Komplett.dk League Season 1,2013-04-14,1101,
"Birmingham, United Kingdom",Gfinity CS:GO Invitational 2016,2016-09-23,2435,"$100,000"
,ESL Pro Series France XI Cup #5,2013-10-22,1247,
,Gaming.dk League by SteelSeries Season 7 Finals,2013-10-12,1236,
Online (South America),Americas Minor South America Open Qualifier - ELEAGUE Major 2018,2017-10-14,3258,
"Madrid, Spain",GAME Stadium 2017,2017-07-08,2896,"$15,750"
,SLTV StarSeries X Finals,2014-08-30,1464,
,Rising Showmatch,2015-09-18,1944,
,Rising Stars Balkan #2,2015-12-18,2086,
,ROG MASTERS 2017 India Qualifier #1,2017-07-27,3021,
"Costa Mesa, California, USA",iBUYPOWER Masters 2016,2016-11-12,2454,"$100,000"
,PGL eGG Minor China Qualifier,2016-10-14,2513,
Online,iBUYPOWER Invitational Summer 2016,2016-07-16,2313,"$16,000"
Online,ECS Season 3 EU Development League Open Qualifier #1,2017-02-19,2690,
,Infinity Coliseum LAN 33,0,2304,
,Liga PRO GamersClub - MAR/16,0,2206,
"Jönköping, Sweden",DreamHack Summer 2017 BYOC Free4all,2017-06-19,2929,"$3,450"
,QuickShot Arena NA #1,2015-12-01,2045,
Rio de Janeiro,Brasil Game Cup Rio 2017,2017-04-09,2783,"$8,000"
Online (Vietnam),ROG MASTERS 2017 Vietnam Qualifier,2017-08-05,3050,"$1,980"
"Saint Petersburg, Russia",St. Petersburg Governor&apos;s Cup,2017-10-21,3297,"$5,215"
Lisbon,4Gamers CS:GO Masters,2017-05-06,2807,"$10,997"
,ESEA BenQ S18 EU Pre-Season Tournament,2015-01-04,1603,
,THOR Open 2012,2012-12-08,1031,
"Copenhagen, Denmark",Copenhagen Games 2016 female,2016-03-25,2193,
Online (EU),DreamHack Open Valencia 2017 Europe Closed Qualifier,2017-06-25,2946,
,XLG CS:GO Season 1,0,2265,
"Katowice, Poland",Intel Challenge Katowice 2016,2016-03-05,2162,"$30,000"
"Wuhan, China",Pro Gamer League 2016 Summer Finals,2016-07-22,2319,"$100,000"
Online (Europe),WESG 2017 Central Europe,2017-10-06,3238,
,FACEIT Spring League Open Qualifier,2014-04-27,1354,
,DreamHack Stockholm CS:GO Invitational 2014,2014-09-25,1490,
,ACL Melbourne 2015,2015-09-06,1925,
Online,Liga PRO Alienware GamersClub JUN/17,2017-06-27,2965,"$2,300"
,MondoGames CS:GO Championship Season One,2014-10-05,1506,
Online,Europe Minor Qualifier 2 - PGL Major Krakow 2017,2017-05-04,2819,
"Burbank, California, USA",ESEA MDL Season 23 Europe Finals,2017-01-05,2634,
Online (Oceania),ESEA MDL Season 26 Australia,2017-09-25,3049,"$6,000 + 1 slot at ESEA S26 Global Challenge"
,TECHLABS Cup BY 2013,2013-09-28,1211,
Online,Global Offensive Champions League Season 5,2016-11-28,2596,"$5,000"
"Burbank, California, USA",ESEA Season 25 MDL Global Challenge,2017-09-23,3046,"$50,000"
,Argentina Game Show 2016,2016-09-07,2418,
"Shanghai, China",SL i-League S2 China Finals,2016-08-04,2337,
"San Jose, California",NETGEAR CSGO Summer 2017,2017-08-20,3107,"$3,800"
,ESWC 2013,2013-10-31,1249,
,ESL One New York 2017 Europe Closed Qualifier,2017-08-19,2968,
,RaidCall EMS One Fall 2013 Decider,2013-09-30,1217,
"Bucharest, Romania",PC Garage Clutch Masters by Steelseries,2016-05-14,2249,"$3,000 worth of gear"
,Mad Catz Birmingham,2013-04-05,1099,
Rosario,GTL Rosario 2016,2016-11-12,2562,"$1,600"
"Saint Petersburg, Russia",WESG 2017 Russia LAN,2017-10-22,3245,"$2,000"
"Columbus, Ohio, USA",MLG Columbus 2016 Main Qualifier,2016-02-26,2071,
,Tuddinn LAN 2 | 2016,0,2279,
,TECHLABS Cup Minsk 2013 CIS Qualifier,2013-09-22,1206,
East-Asia,Asia Minor East Asia Qualifier - PGL Major Krakow 2017,2017-04-21,2786,
,Rumble Town Aim Night,0,2287,
,MLG X Games Championship Qualifier #1 North America,2014-12-16,1585,
,ROG MASTERS 2017 Nordic Open Qualifier 1,2017-07-12,2991,
South-East Asia,BeyondGodlike CS:GO SEA Pro League,2017-03-10,2699,"$11,250"
,D!ngIT $2000 Weekly Cup #22,2015-10-19,1983,
"Moscow, Russia",Adrenaline Cyber League 2017,2017-06-18,2889,"$100,000"
,ESWC 2014 European Qualifier,2014-10-04,1503,
Online,Americas Minor - ELEAGUE Major 2017 - Open Qualifier 2,2016-11-07,2556,
"Johannesburg, South Africa",Mettlestate Galaxy CS:GO Championship 2017,2017-05-05,2705,"$76,365"
,BenQ All-Star Showmatch #1,2014-10-19,1517,
,QuickShot Arena #20,2016-01-06,2096,
"Bucharest, Romania",PGL Major Krakow 2017 Main Qualifier,2017-06-29,2721,
Online,IEM Katowice 2016 EU Qualifier #2,2016-01-25,2128,
Online,ESL Brazil Premier League #4,2017-09-27,3229,"$6,100"
Online (Europe &amp; NA),ESL ESEA Pro League Season 2,2015-09-15,1934,
,Fragbite Masters Qualifier #1,2013-11-06,1254,
Online,CEVO Gfinity Professional Season 9 Placement EU,2016-02-10,2140,
,Tuddinn Spring 2016 LAN Finals,0,2260,
,99Damage Arena #10,2015-07-28,1856,
,Rising Tornado #2,2015-06-23,1821,
,ESL Pro Series Spain X,2013-03-04,1078,
,ESL Australia &amp; NZ Championship Season 2,2016-08-20,2386,
,D!ngIT $2000 Weekly Cup #26,2015-11-16,2019,
,DreamHack Summer 2014 pre-qualifier #3,2014-05-25,1370,
,ESL One Katowice 2015 CIS Qualifier,2015-01-28,1642,
Online,DreamHack Open Tours 2017 Europe Closed Qualifier,2017-04-02,2744,
,CS Select #25,2015-08-18,1893,
,ESL Pro Series Poland Season 8,2014-06-02,1379,
"Beijing, China",CS:GO Super League 2017 - Summer Season Finals,2017-08-19,3068,
,European Championship 2014,2014-09-04,1469,
,99Damage Arena #3,2014-12-22,1596,
,Go4CS:GO Cup #44,2013-05-19,1133,
,DreamHack Winter 2012 BYOC,2012-11-23,1023,
Online,ESEA Open Season 24 Latin America,2017-04-19,2773,"$1,600"
,G2A.com December Cup Powered by FACEIT Europe,2014-12-11,1576,
"Cape Town, South Africa",ESWC 2016 South African Qualifier,2016-07-29,2330,
Online,LVP Season 9 División de Honor Sprint #1,2015-10-01,1956,
,DreamHack Masters Las Vegas 2017 North America Closed Qualifier,2017-01-15,2648,
Online,Hellcase Cup 4,2017-05-01,2813,"$10,000"
,FACEIT Saturday Spring Cup #1,2013-03-16,1085,
,Copa GO4Gold #1,2016-10-25,2539,"$16,900"
,RaidCall EMS One Spring 2013 Cup #3,2013-02-27,1075,
"Birmingham, England",UK Masters Summer 2017 Finals,2017-08-25,3092,"$9,615"
Online (Asia),WCA 2017 China Qualifier Wild Card ,2017-09-22,3212,"$12,147"
"Bucharest, Romania",CIS Minor - ELEAGUE Major 2018,2017-10-26,3250,"$50,000 + 2 spots at Main Qualifier"
"Rishon LeZion, Israel",Israel eSports Championship 2017,2017-08-16,3070,"$2,800"
Online (Argentina),WESG 2017 Argentina,2017-11-10,3328,
"Krefeld, Germany",Acer Predator Masters powered by Intel Season 2 Finals,2016-02-11,1958,"$40,000"
,KGB CM Storm 2013,2013-02-17,1062,
Online (NA),DreamHack Open Denver 2017 North America Open Qualifier,2017-09-23,3198,
,SLTV ProSeries XII,2015-04-14,1716,
Online (NA),ECS Season 4 NA Development League Open Qualifier #1,2017-08-19,3053,
,Alienware Area 51 Cup #1,2015-03-27,1705,
,CyberGamer Invite League Season 1,2012-11-07,998,
"Shanghai, China",ROG MASTERS 2017 China Regional Finals,2017-07-27,3008,
Online (Colombia),ROG MASTERS 2017 Colombia Open Qualifier,2017-07-10,2985,
,TECHLABS Baltics Cup 2013,2013-09-20,1202,
"Oakland, California, USA",IEM Oakland 2016,2016-11-16,2261,"$300,000"
"Buenos Aires, Argentina",Gigabyte Top League #3 Finals,2016-03-19,2183,
,EMS One Katowice Polish National Finals,2014-02-10,1309,
,SLTV StarSeries X,2014-06-25,1396,
,Copenhagen Games 2013,2013-03-29,1094,
"Reykjavík, Iceland",Tengillinn LAN 2-2016,2016-11-05,2447,"$1,350"
,GameAgents League Season 2 Qualifier,2015-07-19,1846,
,DreamHack Masters Las Vegas 2017 Oceania Qualifier,0,2587,
Online,Betway Aftonbladet Fight Night #3,2016-02-25,2151,
,Mr. Cat Masters Asian,2016-09-16,2432,"$25,000"
,ELEAGUE Season 2 North America Open Qualifier #2,2016-09-11,2404,
,PGL KeSPA Minor Oceania Qualifier,2016-04-21,2222,
,CS Select #8,2015-04-24,1731,
,ESL Pro Series Germany Summer 2014,2014-08-04,1443,
,EB Expo Sydney 2016 Qualifier #1,2016-09-10,2424,
,SLTV StarSeries XI,2014-09-14,1480,
,ESL Pro Series Poland Season 5 Finals,2013-02-17,1061,
Online,Stream.me Gauntlet ,2016-02-24,2159,"$10,000"
"Shanghai, China",SL i-League Invitational Shanghai 2017,2017-11-02,3190,"$150,000"
,East Asian Championship 2014,2014-03-22,1335,
,Rising Stars North Africa #1,2016-01-16,2115,
,EMS One Katowice Nordic Regional Finals,2014-02-07,1303,
,Fragbite Masters 2014 Qualifier #2,2014-03-03,1325,
Online,MLG Columbus 2016 Last Chance NA pre-qualifier,2016-01-23,2069,
,SLTV StarSeries VI,2013-05-13,1125,
,CS Select #26,2015-08-26,1899,
,ESL Pro Series Germany Spring 2014 Cup #1,2014-02-17,1315,
,99Damage Arena #11,2015-08-03,1869,
,ASUS ROG Summer 2014,2014-07-31,1438,
Europe (Online),CEVO Main Season 13 Europe,2017-11-05,3323,"$10,000"
Online (Germany),German Clash Season 2 Finals,2017-09-09,3164,"$6,123"
Australia,Acer CyberGamer Premier League Autumn 2017,2017-02-03,2658,
,DreamHack Open Summer 2015 BYOC Qualifier,2015-06-13,1813,
,ECS Season 3 NA Promotion,2017-03-25,2727,
"Helsinki, Finland",Nordic Championship Season 1 Finals,2017-08-05,2918,"$20,960"
,Fragbite Masters Season 3 Qualifier #2,2014-09-28,1492,
,ESEA Invite Season 13 Europe,2012-12-10,1033,
Online (Latin America),TodosGamers Cup #1,2017-09-21,3214,"$1,500"
"London, United Kingdom",CEVO Gfinity Professional Season 9 Finals,2016-04-28,2150,"$125,000"
,IEM Taipei 2016 Oceania Qualifier,2016-01-16,2114,
"London, United Kingdom",ESL Pro League Season 3 Finals,2016-05-11,2130,"$512,000"
,WESG 2016 New Zealand,0,2465,
,StarLadder Regional Minor Championship CIS Closed Qualifier,2015-12-21,2092,
,RaidCall EMS One Summer 2013 Cup #1,2013-05-14,1128,
Online,Stream.me Gauntlet EU #1,2016-07-23,2326,"$5,000"
,Insomnia 57,0,2198,
,MSI Beat it! 2013 Chinese Finals,2013-10-04,1223,
Online,UnderDogs #1,2015-09-28,1951,
Warsaw,ESWC 2016 Poland,2016-10-08,2496,"$19,200"
Online (CIS),Headshot Cup #3,2017-06-23,2957,"$3,000"
,Virtus.pro Staff Cup #3,2015-11-07,2003,
,D!ngIT Asia Invitational Group B,2015-12-27,2093,
Online (Middle East),DreamHack Masters Malmö 2017 GCC Open Qualifier,2017-06-12,2905,
Online (Australia),ESEA MDL Season 25 Australia,2017-06-04,2897,"$5,000"
"Barcelona, Spain",ESL Barcelona CS:GO Invitational presented by Mobile World Congress,2016-02-19,2100,"$83,490"
,CEVO Professional Season 7,2015-04-27,1733,
Online,ESL Benelux Winter Championship 2016,2016-09-28,2476,
,CS Select #14,2015-05-23,1770,
Online (EU),DreamHack Open Montreal 2017 Europe Open Qualifier,2017-08-26,3095,
